Sample in Buffer,Sample in Window,TRIGGER,top_jesd204_inst/rx_data[255:0],top_jesd204_inst/rx_valid,top_jesd204_inst/sys_rst_n,top_jesd204_inst/rx_sync_0,top_jesd204_inst/sysref,top_jesd204_inst/rst_204
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,2fa02c201c207d6536bd5d211fa01c201c2038371b208d571b208d5701311c20,1,0,1,0,0
1,1,0,30a02d201d207e6537bd5e2120a01d201d2039371c208e571c208e5702311d20,1,0,1,0,0
2,2,0,31a02e201e207f6538bd5f2121a01e201e203a371d208f571d208f5703311e20,1,0,1,0,0
3,3,0,32a02f201f20806539bd602122a01f201f203b371e2090571e20905704311f20,1,0,1,0,0
4,4,0,33a03020202081653abd612123a0202020203c371f2091571f20915705312020,1,0,1,0,0
5,5,0,34a03120212082653bbd622124a0212021203d37202092572020925706312120,1,0,1,0,0
6,6,0,35a03220222083653cbd632125a0222022203e37212093572120935707312220,1,0,1,1,0
7,7,0,36a03320232084653dbd642126a0232023203f37222094572220945708312320,1,0,1,1,0
8,8,0,37a03420242085653ebd652127a0242024204037232095572320955709312420,1,0,1,1,0
9,9,0,38a03520252086653fbd662128a025202520413724209657242096570a312520,1,0,1,1,0
10,10,0,39a036202620876540bd672129a026202620423725209757252097570b312620,1,0,1,1,0
11,11,0,3aa037202720886541bd68212aa027202720433726209857262098570c312720,1,0,1,1,0
12,12,0,3ba038202820896542bd69212ba028202820443727209957272099570d312820,1,0,1,1,0
13,13,0,3ca0392029208a6543bd6a212ca029202920453728209a5728209a570e312920,1,0,1,1,0
14,14,0,3da03a202a208b6544bd6b212da02a202a20463729209b5729209b570f312a20,1,0,1,1,0
15,15,0,3ea03b202b208c6545bd6c212ea02b202b2047372a209c572a209c5710312b20,1,0,1,1,0
16,16,0,3fa03c202c208d6546bd6d212fa02c202c2048372b209d572b209d5711312c20,1,0,1,1,0
17,17,0,40a03d202d208e6547bd6e2130a02d202d2049372c209e572c209e5712312d20,1,0,1,0,0
18,18,0,41a03e202e208f6548bd6f2131a02e202e204a372d209f572d209f5713312e20,1,0,1,0,0
19,19,0,42a03f202f20906549bd702132a02f202f204b372e20a0572e20a05714312f20,1,0,1,0,0
20,20,0,43a04020302091654abd712133a0302030204c372f20a1572f20a15715313020,1,0,1,1,0
21,21,0,44a04120312092654bbd722134a0312031204d373020a2573020a25716313120,1,0,1,1,0
22,22,0,45a04220322093654cbd732135a0322032204e373120a3573120a35717313220,1,0,1,1,0
23,23,0,46a04320332094654dbd742136a0332033204f373220a4573220a45718313320,1,0,1,1,0
24,24,0,47a04420342095654ebd752137a03420342050373320a5573320a55719313420,1,0,1,1,0
25,25,0,48a04520352096654fbd762138a03520352051373420a6573420a6571a313520,1,0,1,1,0
26,26,0,49a046203620976550bd772139a03620362052373520a7573520a7571b313620,1,0,1,1,0
27,27,0,4aa047203720986551bd78213aa03720372053373620a8573620a8571c313720,1,0,1,1,0
28,28,0,4ba048203820996552bd79213ba03820382054373720a9573720a9571d313820,1,0,1,1,0
29,29,0,4ca0492039209a6553bd7a213ca03920392055373820aa573820aa571e313920,1,0,1,1,0
30,30,0,4da04a203a209b6554bd7b213da03a203a2056373920ab573920ab571f313a20,1,0,1,0,0
31,31,0,4ea04b203b209c6555bd7c213ea03b203b2057373a20ac573a20ac5720313b20,1,0,1,0,0
32,32,0,4fa04c203c209d6556bd7d213fa03c203c2058373b20ad573b20ad5721313c20,1,0,1,0,0
33,33,0,50a04d203d209e6557bd7e2140a03d203d2059373c20ae573c20ae5722313d20,1,0,1,0,0
34,34,0,51a04e203e209f6558bd7f2141a03e203e205a373d20af573d20af5723313e20,1,0,1,0,0
35,35,0,52a04f203f20a06559bd802142a03f203f205b373e20b0573e20b05724313f20,1,0,1,0,0
36,36,0,53a050204020a1655abd812143a0402040205c373f20b1573f20b15725314020,1,0,1,0,0
37,37,0,54a051204120a2655bbd822144a0412041205d374020b2574020b25726314120,1,0,1,0,0
38,38,0,55a052204220a3655cbd832145a0422042205e374120b3574120b35727314220,1,0,1,0,0
39,39,0,56a053204320a4655dbd842146a0432043205f374220b4574220b45728314320,1,0,1,0,0
40,40,0,57a054204420a5655ebd852147a04420442060374320b5574320b55729314420,1,0,1,0,0
41,41,0,58a055204520a6655fbd862148a04520452061374420b6574420b6572a314520,1,0,1,0,0
42,42,0,59a056204620a76560bd872149a04620462062374520b7574520b7572b314620,1,0,1,0,0
43,43,0,5aa057204720a86561bd88214aa04720472063374620b8574620b8572c314720,1,0,1,0,0
44,44,0,5ba058204820a96562bd89214ba04820482064374720b9574720b9572d314820,1,0,1,0,0
45,45,0,5ca059204920aa6563bd8a214ca04920492065374820ba574820ba572e314920,1,0,1,0,0
46,46,0,5da05a204a20ab6564bd8b214da04a204a2066374920bb574920bb572f314a20,1,0,1,0,0
47,47,0,5ea05b204b20ac6565bd8c214ea04b204b2067374a20bc574a20bc5730314b20,1,0,1,0,0
48,48,0,5fa05c204c20ad6566bd8d214fa04c204c2068374b20bd574b20bd5731314c20,1,0,1,0,0
49,49,0,60a05d204d20ae6567bd8e2150a04d204d2069374c20be574c20be5732314d20,1,0,1,0,0
50,50,0,61a05e204e20af6568bd8f2151a04e204e206a374d20bf574d20bf5733314e20,1,0,1,0,0
51,51,0,62a05f204f20b06569bd902152a04f204f206b374e20c0574e20c05734314f20,1,0,1,0,0
52,52,0,63a060205020b1656abd912153a0502050206c374f20c1574f20c15735315020,1,0,1,0,0
53,53,0,64a061205120b2656bbd922154a0512051206d375020c2575020c25736315120,1,0,1,0,0
54,54,0,65a062205220b3656cbd932155a0522052206e375120c3575120c35737315220,1,0,1,1,0
55,55,0,66a063205320b4656dbd942156a0532053206f375220c4575220c45738315320,1,0,1,1,0
56,56,0,67a064205420b5656ebd952157a05420542070375320c5575320c55739315420,1,0,1,1,0
57,57,0,68a065205520b6656fbd962158a05520552071375420c6575420c6573a315520,1,0,1,1,0
58,58,0,69a066205620b76570bd972159a05620562072375520c7575520c7573b315620,1,0,1,1,0
59,59,0,6aa067205720b86571bd98215aa05720572073375620c8575620c8573c315720,1,0,1,1,0
60,60,0,6ba068205820b96572bd99215ba05820582074375720c9575720c9573d315820,1,0,1,1,0
61,61,0,6ca069205920ba6573bd9a215ca05920592075375820ca575820ca573e315920,1,0,1,1,0
62,62,0,6da06a205a20bb6574bd9b215da05a205a2076375920cb575920cb573f315a20,1,0,1,1,0
63,63,0,6ea06b205b20bc6575bd9c215ea05b205b2077375a20cc575a20cc5740315b20,1,0,1,1,0
64,64,0,6fa06c205c20bd6576bd9d215fa05c205c2078375b20cd575b20cd5741315c20,1,0,1,1,0
65,65,0,70a06d205d20be6577bd9e2160a05d205d2079375c20ce575c20ce5742315d20,1,0,1,0,0
66,66,0,71a06e205e20bf6578bd9f2161a05e205e207a375d20cf575d20cf5743315e20,1,0,1,1,0
67,67,0,72a06f205f20c06579bda02162a05f205f207b375e20d0575e20d05744315f20,1,0,1,1,0
