Sample in Buffer,Sample in Window,TRIGGER,design_1_wrapper_inst/design_1_i/system_ila_0/inst/SLOT_0_JESD204_RX_BUS_rxcharisk_1[3:0],design_1_wrapper_inst/design_1_i/system_ila_0/inst/SLOT_0_JESD204_RX_BUS_rxdata_1[31:0],design_1_wrapper_inst/design_1_i/system_ila_0/inst/SLOT_0_JESD204_RX_BUS_rxdisperr_1[3:0],design_1_wrapper_inst/design_1_i/system_ila_0/inst/SLOT_0_JESD204_RX_BUS_rxnotintable_1[3:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,BINARY,HEX,HEX,HEX
0,0,0,0000,fdad55b2,0,0
1,1,0,0000,29680cec,0,0
2,2,0,0000,3222f770,0,0
3,3,0,0000,e7abaecc,0,0
4,4,0,0000,e01150f8,0,0
5,5,0,0000,87594164,0,0
6,6,0,0000,62fe10d5,0,0
7,7,0,0000,a81f4c05,0,0
8,8,0,0000,2584f141,0,0
9,9,0,0000,c552de18,0,0
10,10,0,0000,49679cee,0,0
11,11,0,0000,b0e9b753,0,0
12,12,0,0000,c63da175,0,0
13,13,0,0000,722b978c,0,0
14,14,0,0000,e41a2efb,0,0
15,15,0,0000,d4c5595e,0,0
16,16,0,0000,1b4afb9c,0,0
17,17,0,0000,d58959bc,0,0
18,18,0,0000,07bafe34,0,0
19,19,0,0000,6748119c,0,0
20,20,0,0000,e5a751b1,0,0
21,21,0,0000,cae15cd0,0,0
22,22,0,0000,8d9bbd44,0,0
23,23,0,0000,e0d62f59,0,0
24,24,0,0000,8c3542f6,0,0
25,25,0,0000,f98e2bbd,0,0
26,26,0,0000,76d41626,0,0
27,27,0,0000,b41636f9,0,0
28,28,0,0000,9631b977,0,0
29,29,0,0000,30df77a5,0,0
30,30,0,0000,cf8fa2c2,0,0
31,31,0,0000,cec3a220,0,0
32,32,0,0000,d233a788,0,0
33,33,0,0000,60f2efa8,0,0
34,34,0,0000,82ef402d,0,0
35,35,0,0000,2f460d61,0,0
36,36,0,0000,477ae194,0,0
37,37,0,0000,6d4d921d,0,0
38,38,0,0000,6ce36daf,0,0
39,39,0,0000,75bb694b,0,0
40,40,0,0000,8f5a3d9b,0,0
41,41,0,0000,c2c220df,0,0
42,42,0,0000,22278f8e,0,0
43,43,0,0000,a6eeced2,0,0
44,44,0,0000,ff50d567,0,0
45,45,0,0000,014c00e2,0,0
46,46,0,0000,1cf005a8,0,0
47,47,0,0000,b2c14820,0,0
48,48,0,0000,e21daf85,0,0
49,49,0,0000,ada94d4c,0,0
50,50,0,0000,683cecf5,0,0
51,51,0,0000,2a377389,0,0
52,52,0,0000,01aeffb2,0,0
53,53,0,0000,195804e4,0,0
54,54,0,0000,fae154d0,0,0
55,55,0,0000,4d981d44,0,0
56,56,0,0000,e0e5af51,0,0
57,57,0,0000,84c9415c,0,0
58,58,0,0000,59be1bb5,0,0
59,59,0,0000,fe1cd585,0,0
60,60,0,0000,1dbc054a,0,0
61,61,0,0000,ae314d88,0,0
62,62,0,0000,50dce7a5,0,0
63,63,0,0000,4fb4e2c9,0,0
64,64,0,0000,c595a1b9,0,0
65,65,0,0000,420b9f7c,0,0
66,66,0,0000,2b998c3b,0,0
67,67,0,0000,18f6fb56,0,0
68,68,0,0000,e3b95034,0,0
69,69,0,0000,b7794994,0,0
70,70,0,0000,ad7db215,0,0
71,71,0,0000,642cee0d,0,0
72,72,0,0000,dd775ae9,0,0
73,73,0,0000,a7a2ce30,0,0
74,74,0,0000,e3a0d0cf,0,0
75,75,0,0000,b38d48c2,0,0
76,76,0,0000,feedaa2d,0,0
77,77,0,0000,1f68056c,0,0
78,78,0,0000,8a214370,0,0
79,79,0,0000,879e3ec5,0,0
80,80,0,0000,69921347,0,0
81,81,0,0000,336f776d,0,0
82,82,0,0000,fb4fab62,0,0
83,83,0,0000,54c019a0,0,0
84,84,0,0000,1a04fb81,0,0
85,85,0,0000,c9515c18,0,0
86,86,0,0000,b95bb4e4,0,0
87,87,0,0000,7ad594d9,0,0
88,88,0,0000,44021eff,0,0
89,89,0,0000,502d980d,0,0
90,90,0,0000,4d60e2ef,0,0
91,91,0,0000,e185af41,0,0
92,92,0,0000,9549461c,0,0
93,93,0,0000,0dbf7db5,0,0
94,94,0,0000,ee0c2d82,0,0
95,95,0,0000,5afd642a,0,0
96,96,0,0000,c820dc0f,0,0
97,97,0,0000,af8fb2c2,0,0
98,98,0,0000,4ec4e221,0,0
99,99,0,0000,d355a799,0,0
100,100,1,0001,700ae8fc,0,0
101,101,0,0000,c38e203d,0,0
102,102,0,0000,3ed78a26,0,0
103,103,0,0000,142f86f2,0,0
104,104,0,0000,1d4d7ae2,0,0
105,105,0,0000,ace54dae,0,0
106,106,0,0000,74cce95d,0,0
107,107,0,0000,98f63ba9,0,0
108,108,0,0000,e3b35037,0,0
109,109,0,0000,b4f149a8,0,0
110,110,0,0000,92ddb825,0,0
111,111,0,0000,67af6ecd,0,0
112,112,0,0000,e14b50e3,0,0
113,113,0,0000,9d9145b8,0,0
114,114,0,0000,a35f4f65,0,0
115,115,0,0000,b384c8c1,0,0
116,116,0,0000,fd59aa1b,0,0
117,117,0,0000,2af80cd4,0,0
