Sample in Buffer,Sample in Window,TRIGGER,design_1_wrapper_inst/design_1_i/system_ila_1/inst/SLOT_0_JESD204_RX_BUS_rxcharisk_1[3:0],design_1_wrapper_inst/design_1_i/system_ila_1/inst/SLOT_0_JESD204_RX_BUS_rxdata_1[31:0],design_1_wrapper_inst/design_1_i/system_ila_1/inst/SLOT_0_JESD204_RX_BUS_rxdisperr_1[3:0],design_1_wrapper_inst/design_1_i/system_ila_1/inst/SLOT_0_JESD204_RX_BUS_rxnotintable_1[3:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,BINARY,HEX,HEX,HEX
148,148,0,0000,4ee3622f,0,0
149,149,0,0000,ddb9a54b,0,0
150,150,0,0000,af7acd94,0,0
151,151,0,0000,4d40e21f,0,0
152,152,0,0000,ee05ad81,0,0
153,153,0,0000,5949641c,0,0
154,154,0,0000,fdb0d5b7,0,0
155,155,0,0000,2ccc0da2,0,0
156,156,0,0000,78f2eba8,0,0
157,157,0,0000,62ee102d,0,0
158,158,0,0000,af5f4d65,0,0
159,159,0,0000,4384e0c1,0,0
160,160,0,0000,3d558a19,0,0
161,161,0,0000,28078cfe,0,0
162,162,0,0000,216ef012,0,0
163,163,0,0000,935ac764,0,0
164,164,0,0000,72c368df,0,0
165,165,0,0000,e23a2f8b,0,0
166,166,0,0000,a3454f9e,0,0
167,167,0,0000,b74cc99d,0,0
168,168,0,0000,a4f9b1ab,0,0
169,169,0,0000,d17cd815,0,0
170,170,0,0000,543ee60a,0,0
171,171,0,0000,1a1cfb85,0,0
172,172,0,0000,cdb15d48,0,0
173,173,0,0000,ecdbada4,0,0
174,174,0,0000,7ed16ad8,0,0
175,175,0,0000,155206e7,0,0
176,176,0,0000,09697cec,0,0
177,177,0,0000,b2343776,0,0
178,178,0,0000,e199afbb,0,0
179,179,0,0000,90f94754,0,0
180,180,0,0000,417f6015,0,0
181,181,0,0000,14098603,0,0
182,182,0,0000,13b57836,0,0
183,183,0,0000,758569be,0,0
184,184,0,0000,85423e1f,0,0
185,185,0,0000,4e221d8f,0,0
186,186,0,0000,d7ada6cd,0,0
187,187,0,0000,216af0ec,0,0
188,188,0,0000,920ac77c,0,0
189,189,0,0000,6b836c3f,0,0
190,190,0,0000,1c3b7a0b,0,0
191,191,0,0000,bb5d4b9a,0,0
192,192,0,0000,53ad98cd,0,0
193,193,0,0000,7160e8ef,0,0
194,194,0,0000,d1862741,0,0
195,195,0,0000,5576e616,0,0
196,196,0,0000,07bcfe35,0,0
197,197,0,0000,66301188,0,0
198,198,0,0000,f0c757a1,0,0
199,199,0,0000,cb602390,0,0
200,200,0,0000,998fbb42,0,0
201,201,0,0000,f6c75621,0,0
202,202,0,0000,b3603790,0,0
203,203,0,0000,f989ab43,0,0
204,204,0,0000,77b81634,0,0
205,205,0,0000,a7663191,0,0
206,206,0,0000,e8f0d357,0,0
207,207,0,0000,22cd7022,0,0
208,208,0,0000,a0e6cfae,0,0
209,209,0,0000,84f0c157,0,0
210,210,0,0000,52ca1823,0,0
211,211,0,0000,618cefbd,0,0
212,212,0,0000,96f74629,0,0
213,213,0,0000,3ba77431,0,0
214,214,0,0000,52ef98d2,0,0
215,215,0,0000,6f48ed63,0,0
216,216,0,0000,45a761b1,0,0
217,217,0,0000,4ae99cd3,0,0
218,218,0,0000,8e31bd77,0,0
219,219,0,0000,d0de27a5,0,0
220,220,0,0000,4f96e2c6,0,0
221,221,0,0000,ca3da375,0,0
222,222,0,0000,822bbf8c,0,0
223,223,0,0000,24160ef9,0,0
224,224,0,0000,d63ad974,0,0
225,225,0,0000,3346f79e,0,0
226,226,0,0000,f77ba994,0,0
227,227,0,0000,ad503218,0,0
228,228,0,0000,6948ece3,0,0
229,229,0,0000,3da775b1,0,0
230,230,0,0000,2aef8cd2,0,0
231,231,0,0000,0f4efd62,0,0
232,232,0,0000,c4d821a4,0,0
233,233,0,0000,5eef9ad2,0,0
234,234,0,0000,9f48c563,0,0
235,235,0,0000,85ab41b3,0,0
236,236,0,0000,48161cf9,0,0
237,237,0,0000,a63db175,0,0
238,238,0,0000,f22cd78d,0,0
239,239,0,0000,e57c2eea,0,0
240,240,0,0000,c43d5e0a,0,0
241,241,0,0000,5a2b9b8c,0,0
242,242,0,0000,c418defb,0,0
243,243,0,0000,54ef9952,0,0
244,244,0,0000,1748f963,0,0
245,245,0,0000,25a171b0,0,0
246,246,0,0000,cb96dcc6,0,0
247,247,0,0000,9a37bb76,0,0
248,248,0,0000,c1a75fb1,0,0
249,249,0,0000,1ae384d0,0,0
250,250,0,0000,cdbd5d4a,0,0
251,251,0,0000,ee2bad8c,0,0
252,252,0,0000,541166f8,0,0
253,253,0,0000,1750f967,0,0
254,254,0,0000,214170e0,0,0
255,255,0,0000,9e16c586,0,0
256,256,0,0000,9e334577,0,0
257,257,0,0000,90f747a9,0,0
258,258,0,0000,43a76031,0,0
259,259,0,0000,32e988d3,0,0
260,260,0,0000,ee37ad76,0,0
261,261,0,0000,51a167b0,0,0
262,262,0,0000,5b90e4c7,0,0
263,263,0,0000,db44db61,0,0
264,264,0,0000,d75ed99a,0,0
265,265,0,0000,2396f0c6,0,0
266,266,0,0000,ba3acb74,0,0
267,267,0,0000,43419f9f,0,0
268,268,0,0000,36118987,0,0
