Sample in Buffer,Sample in Window,TRIGGER,sysref,tx_ready,tx_data[127:0],rx_sync_0_OBUF,tx_sync_0_IBUF,rx_valid_1,locked,rst_204,rx_valid,rx_data[127:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,0,1,6a39eb326a39eb336a39eb346a39eb35,0,1,0,1,0,0,00000000000000000000000000000000
1,1,0,0,1,6a39eb336a39eb346a39eb356a39eb36,0,1,0,1,0,0,00000000000000000000000000000000
2,2,0,0,1,6a39eb346a39eb356a39eb366a39eb37,0,1,0,1,0,0,00000000000000000000000000000000
3,3,0,0,1,6a39eb356a39eb366a39eb376a39eb38,0,1,0,1,0,0,00000000000000000000000000000000
4,4,0,1,1,6a39eb366a39eb376a39eb386a39eb39,0,1,0,1,0,0,00000000000000000000000000000000
5,5,0,1,1,6a39eb376a39eb386a39eb396a39eb3a,0,1,0,1,0,0,00000000000000000000000000000000
6,6,0,1,1,6a39eb386a39eb396a39eb3a6a39eb3b,0,1,0,1,0,0,00000000000000000000000000000000
7,7,0,1,1,6a39eb396a39eb3a6a39eb3b6a39eb3c,0,1,0,1,0,0,00000000000000000000000000000000
8,8,0,1,1,6a39eb3a6a39eb3b6a39eb3c6a39eb3d,0,1,0,1,0,0,00000000000000000000000000000000
9,9,0,1,1,6a39eb3b6a39eb3c6a39eb3d6a39eb3e,0,1,0,1,0,0,00000000000000000000000000000000
10,10,0,1,1,6a39eb3c6a39eb3d6a39eb3e6a39eb3f,0,1,0,1,0,0,00000000000000000000000000000000
11,11,0,1,1,6a39eb3d6a39eb3e6a39eb3f6a39eb40,0,1,0,1,0,0,00000000000000000000000000000000
12,12,0,1,1,6a39eb3e6a39eb3f6a39eb406a39eb41,0,1,0,1,0,0,00000000000000000000000000000000
13,13,0,1,1,6a39eb3f6a39eb406a39eb416a39eb42,0,1,0,1,0,0,00000000000000000000000000000000
14,14,0,1,1,6a39eb406a39eb416a39eb426a39eb43,0,1,0,1,0,0,00000000000000000000000000000000
15,15,0,1,1,6a39eb416a39eb426a39eb436a39eb44,0,1,0,1,0,0,00000000000000000000000000000000
16,16,0,1,1,6a39eb426a39eb436a39eb446a39eb45,0,1,0,1,0,0,00000000000000000000000000000000
17,17,0,1,1,6a39eb436a39eb446a39eb456a39eb46,0,1,0,1,0,0,00000000000000000000000000000000
18,18,0,1,1,6a39eb446a39eb456a39eb466a39eb47,0,1,0,1,0,0,00000000000000000000000000000000
19,19,0,1,1,6a39eb456a39eb466a39eb476a39eb48,0,1,0,1,0,0,00000000000000000000000000000000
