Sample in Buffer,Sample in Window,TRIGGER,emif_uart_exc_inst/uart_tx_data[7:0],emif_uart_exc_inst/uart_tx_data_valid,emif_uart_exc_inst/uart_rx_data[7:0],emif_uart_exc_inst/uart_rx_data_valid,emif_uart_exc_inst/emif_2_uart_din[7:0],emif_uart_exc_inst/emif_2_uart_wr_en,emif_uart_exc_inst/emif_2_uart_rd_en,emif_uart_exc_inst/emif_2_uart_dout[7:0],emif_uart_exc_inst/emif_uart_state[2:0],emif_uart_exc_inst/svm570_emif_2_uart_start,emif_uart_exc_inst/svm570_emif_2_uart_end,emif_uart_exc_inst/svm570_emif_2_uart_valid,emif_uart_exc_inst/svm570_emif_2_uart_data[7:0],emif_uart_exc_inst/emif_uart_rd,emif_uart_exc_inst/emif_uart_data[7:0],emif_uart_exc_inst/uart_4008_data_valid
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
63,63,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
64,64,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
65,65,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
66,66,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
67,67,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
68,68,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
69,69,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
70,70,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
71,71,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
72,72,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
73,73,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
74,74,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
75,75,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
76,76,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
77,77,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
78,78,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
79,79,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
80,80,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
81,81,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
82,82,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
83,83,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
84,84,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
85,85,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
86,86,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
87,87,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
88,88,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
89,89,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
90,90,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
91,91,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
92,92,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
93,93,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
94,94,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
95,95,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
96,96,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
97,97,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
98,98,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
99,99,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
100,100,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
101,101,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
102,102,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
103,103,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
104,104,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
105,105,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
106,106,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
107,107,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
108,108,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
109,109,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
110,110,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
111,111,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
112,112,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
113,113,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
114,114,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
115,115,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
116,116,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
117,117,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
118,118,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
119,119,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
120,120,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
121,121,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
122,122,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
123,123,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
124,124,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
125,125,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
126,126,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
127,127,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
128,128,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
129,129,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
130,130,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
131,131,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
132,132,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
133,133,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
134,134,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
135,135,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
136,136,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
137,137,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
138,138,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
139,139,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
140,140,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
141,141,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
142,142,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
143,143,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
144,144,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
145,145,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
146,146,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
147,147,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
148,148,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
149,149,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
150,150,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
151,151,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
152,152,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
153,153,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
154,154,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
155,155,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
156,156,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
157,157,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
158,158,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
159,159,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
160,160,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
161,161,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
162,162,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
163,163,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
164,164,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
165,165,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
166,166,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
167,167,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
168,168,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
169,169,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
170,170,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
171,171,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
172,172,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
173,173,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
174,174,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
175,175,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
176,176,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
177,177,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
178,178,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
179,179,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
180,180,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
181,181,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
182,182,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
183,183,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
184,184,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
185,185,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
186,186,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
187,187,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
188,188,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
189,189,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
190,190,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
191,191,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
192,192,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
193,193,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
194,194,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
195,195,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
196,196,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
197,197,0,00,0,00,0,00,0,0,eb,"s1",0,0,0,d7,0,00,1
198,198,0,00,0,00,0,00,0,0,eb,"s1",0,1,0,d7,0,00,1
199,199,0,00,0,00,0,00,0,0,eb,"s2",0,0,0,d7,0,00,1
200,200,1,eb,1,00,0,00,0,1,eb,3,0,0,0,d7,0,00,1
201,201,0,eb,0,00,0,00,0,0,90,3,0,0,0,d7,0,00,1
202,202,0,eb,0,00,0,00,0,0,90,3,0,0,0,d7,0,00,1
203,203,0,eb,0,00,0,00,0,0,90,3,0,0,0,d7,0,00,1
204,204,0,eb,0,00,0,00,0,0,90,3,0,0,0,d7,0,00,1
205,205,0,eb,0,00,0,00,0,0,90,3,0,0,0,d7,0,00,1
206,206,0,eb,0,00,0,00,0,0,90,3,0,0,0,d7,0,00,1
207,207,0,eb,0,00,0,00,0,0,90,3,0,0,0,d7,0,00,1
208,208,0,eb,0,00,0,00,0,0,90,3,0,0,0,d7,0,00,1
209,209,0,eb,0,00,0,00,0,0,90,3,0,0,0,d7,0,00,1
210,210,0,eb,0,00,0,00,0,0,90,3,0,0,0,d7,0,00,1
211,211,0,eb,0,00,0,00,0,0,90,3,0,0,0,d7,0,00,1
212,212,0,eb,0,00,0,00,0,0,90,3,0,0,0,d7,0,00,1
213,213,0,eb,0,00,0,00,0,0,90,3,0,0,0,d7,0,00,1
214,214,0,eb,0,00,0,00,0,0,90,3,0,0,0,d7,0,00,1
215,215,0,eb,0,00,0,00,0,0,90,3,0,0,0,d7,0,00,1
216,216,0,eb,0,00,0,00,0,0,90,3,0,0,0,d7,0,00,1
217,217,0,eb,0,00,0,00,0,0,90,3,0,0,0,d7,0,00,1
218,218,0,eb,0,00,0,00,0,0,90,3,0,0,0,d7,0,00,1
219,219,0,eb,0,00,0,00,0,0,90,3,0,0,0,d7,0,00,1
220,220,0,eb,0,00,0,00,0,0,90,3,0,0,0,d7,0,00,1
221,221,0,eb,0,00,0,00,0,0,90,3,0,0,0,d7,0,00,1
222,222,0,eb,0,00,0,00,0,0,90,3,0,0,0,d7,0,00,1
223,223,0,eb,0,00,0,00,0,0,90,3,0,0,0,d7,0,00,1
224,224,0,eb,0,00,0,00,0,0,90,3,0,0,0,d7,0,00,1
225,225,0,eb,0,00,0,00,0,0,90,3,0,0,0,d7,0,00,1
226,226,0,eb,0,00,0,00,0,0,90,3,0,0,0,d7,0,00,1
227,227,0,eb,0,00,0,00,0,0,90,3,0,0,0,d7,0,00,1
228,228,0,eb,0,00,0,00,0,0,90,3,0,0,0,d7,0,00,1
229,229,0,eb,0,00,0,00,0,0,90,3,0,0,0,d7,0,00,1
230,230,0,eb,0,00,0,00,0,0,90,3,0,0,0,d7,0,00,1
231,231,0,eb,0,00,0,00,0,0,90,3,0,0,0,d7,0,00,1
232,232,0,eb,0,00,0,00,0,0,90,3,0,0,0,d7,0,00,1
233,233,0,eb,0,00,0,00,0,0,90,3,0,0,0,d7,0,00,1
234,234,0,eb,0,00,0,00,0,0,90,3,0,0,0,d7,0,00,1
