Sample in Buffer,Sample in Window,TRIGGER,top_jesd204_inst/rx_data[255:0],top_jesd204_inst/rx_valid,top_jesd204_inst/sys_rst_n,top_jesd204_inst/rx_sync_0,top_jesd204_inst/sysref,top_jesd204_inst/rst_204
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX
56,56,0,29f3157347f877c0300857f429f315739873328a157387aa157387aafb831673,1,0,1,1,0
57,57,0,2af3167348f878c0310858f42af316739973338a167388aa167388aafc831773,1,0,1,1,0
58,58,0,2bf3177349f879c0320859f42bf317739a73348a177389aa177389aafd831873,1,0,1,1,0
59,59,0,2cf318734af87ac033085af42cf318739b73358a18738aaa18738aaafe831973,1,0,1,1,0
60,60,0,2df319734bf87bc034085bf42df319739c73368a19738baa19738baaff831a73,1,0,1,1,0
61,61,0,2ef31a734cf87cc035085cf42ef31a739d73378a1a738caa1a738caa00841b73,1,0,1,1,0
62,62,0,2ff31b734df87dc036085df42ff31b739e73388a1b738daa1b738daa01841c73,1,0,1,1,0
63,63,0,30f31c734ef87ec037085ef430f31c739f73398a1c738eaa1c738eaa02841d73,1,0,1,1,0
64,64,0,31f31d734ff87fc038085ff431f31d73a0733a8a1d738faa1d738faa03841e73,1,0,1,1,0
65,65,0,32f31e7350f880c0390860f432f31e73a1733b8a1e7390aa1e7390aa04841f73,1,0,1,1,0
66,66,0,33f31f7351f881c03a0861f433f31f73a2733c8a1f7391aa1f7391aa05842073,1,0,1,1,0
67,67,0,34f3207352f882c03b0862f434f32073a3733d8a207392aa207392aa06842173,1,0,1,1,0
68,68,0,35f3217353f883c03c0863f435f32173a4733e8a217393aa217393aa07842273,1,0,1,1,0
69,69,0,36f3227354f884c03d0864f436f32273a5733f8a227394aa227394aa08842373,1,0,1,1,0
70,70,0,37f3237355f885c03e0865f437f32373a673408a237395aa237395aa09842473,1,0,1,1,0
71,71,0,38f3247356f886c03f0866f438f32473a773418a247396aa247396aa0a842573,1,0,1,1,0
