Sample in Buffer,Sample in Window,TRIGGER,sysref,tx_ready,tx_data[63:0],rx_sync_0_OBUF,tx_sync_0_IBUF,rx_valid_1,locked,rst_204,rx_valid,rx_data[63:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,1,1,a1651fe1a1651fe2,1,1,0,1,0,0,0000000000000000
1,1,0,1,1,a1651fe2a1651fe3,1,1,0,1,0,0,0000000000000000
2,2,0,1,1,a1651fe3a1651fe4,1,1,0,1,0,0,0000000000000000
3,3,0,1,1,a1651fe4a1651fe5,1,1,0,1,0,0,0000000000000000
4,4,0,1,1,a1651fe5a1651fe6,1,1,0,1,0,0,0000000000000000
5,5,0,1,1,a1651fe6a1651fe7,1,1,0,1,0,0,0000000000000000
6,6,0,1,1,a1651fe7a1651fe8,1,1,0,1,0,0,0000000000000000
7,7,0,1,1,a1651fe8a1651fe9,1,1,0,1,0,0,0000000000000000
8,8,0,0,1,a1651fe9a1651fea,1,1,0,1,0,0,0000000000000000
9,9,0,0,1,a1651feaa1651feb,1,1,0,1,0,0,0000000000000000
10,10,0,0,1,a1651feba1651fec,1,1,0,1,0,0,0000000000000000
11,11,0,0,1,a1651feca1651fed,1,1,0,1,0,0,0000000000000000
12,12,0,0,1,a1651feda1651fee,1,1,0,1,0,0,0000000000000000
13,13,0,0,1,a1651feea1651fef,1,1,0,1,0,0,0000000000000000
14,14,0,0,1,a1651fefa1651ff0,1,1,0,1,0,0,0000000000000000
15,15,0,0,1,a1651ff0a1651ff1,1,1,0,1,0,0,0000000000000000
16,16,0,0,1,a1651ff1a1651ff2,1,1,0,1,0,0,0000000000000000
17,17,0,0,1,a1651ff2a1651ff3,1,1,0,1,0,0,0000000000000000
18,18,0,0,1,a1651ff3a1651ff4,1,1,0,1,0,0,0000000000000000
19,19,0,0,1,a1651ff4a1651ff5,1,1,0,1,0,0,0000000000000000
20,20,0,0,1,a1651ff5a1651ff6,1,1,0,1,0,0,0000000000000000
21,21,0,0,1,a1651ff6a1651ff7,1,1,0,1,0,0,0000000000000000
22,22,0,0,1,a1651ff7a1651ff8,1,1,0,1,0,0,0000000000000000
23,23,0,0,1,a1651ff8a1651ff9,1,1,0,1,0,0,0000000000000000
24,24,0,1,1,a1651ff9a1651ffa,1,1,0,1,0,0,0000000000000000
25,25,0,1,1,a1651ffaa1651ffb,1,1,0,1,0,0,0000000000000000
26,26,0,1,1,a1651ffba1651ffc,1,1,0,1,0,0,0000000000000000
27,27,0,1,1,a1651ffca1651ffd,1,1,0,1,0,0,0000000000000000
28,28,0,1,1,a1651ffda1651ffe,1,1,0,1,0,0,0000000000000000
29,29,0,1,1,a1651ffea1651fff,1,1,0,1,0,0,0000000000000000
30,30,0,1,1,a1651fffa1652000,1,1,0,1,0,0,0000000000000000
31,31,0,1,1,a1652000a1652001,1,1,0,1,0,0,0000000000000000
32,32,0,1,1,a1652001a1652002,1,1,0,1,0,0,0000000000000000
33,33,0,1,1,a1652002a1652003,1,1,0,1,0,0,0000000000000000
34,34,0,1,1,a1652003a1652004,1,1,0,1,0,0,0000000000000000
35,35,0,1,1,a1652004a1652005,1,1,0,1,0,0,0000000000000000
36,36,0,1,1,a1652005a1652006,1,1,0,1,0,0,0000000000000000
37,37,0,1,1,a1652006a1652007,1,1,0,1,0,0,0000000000000000
38,38,0,1,1,a1652007a1652008,1,1,0,1,0,0,0000000000000000
39,39,0,1,1,a1652008a1652009,1,1,0,1,0,0,0000000000000000
40,40,0,0,1,a1652009a165200a,1,1,0,1,0,0,0000000000000000
41,41,0,0,1,a165200aa165200b,1,1,0,1,0,0,0000000000000000
42,42,0,0,1,a165200ba165200c,1,1,0,1,0,0,0000000000000000
43,43,0,0,1,a165200ca165200d,1,1,0,1,0,0,0000000000000000
44,44,0,0,1,a165200da165200e,1,1,0,1,0,0,0000000000000000
45,45,0,0,1,a165200ea165200f,1,1,0,1,0,0,0000000000000000
46,46,0,0,1,a165200fa1652010,1,1,0,1,0,0,0000000000000000
47,47,0,0,1,a1652010a1652011,1,1,0,1,0,0,0000000000000000
48,48,0,0,1,a1652011a1652012,1,1,0,1,0,0,0000000000000000
49,49,0,0,1,a1652012a1652013,1,1,0,1,0,0,0000000000000000
50,50,0,0,1,a1652013a1652014,1,1,0,1,0,0,0000000000000000
51,51,0,0,1,a1652014a1652015,1,1,0,1,0,0,0000000000000000
52,52,0,0,1,a1652015a1652016,1,1,0,1,0,0,0000000000000000
53,53,0,0,1,a1652016a1652017,1,1,0,1,0,0,0000000000000000
54,54,0,0,1,a1652017a1652018,1,1,0,1,0,0,0000000000000000
55,55,0,0,1,a1652018a1652019,1,1,0,1,0,0,0000000000000000
56,56,0,1,1,a1652019a165201a,1,1,0,1,0,0,0000000000000000
57,57,0,1,1,a165201aa165201b,1,1,0,1,0,0,0000000000000000
58,58,0,1,1,a165201ba165201c,1,1,0,1,0,0,0000000000000000
59,59,0,1,1,a165201ca165201d,1,1,0,1,0,0,0000000000000000
60,60,0,1,1,a165201da165201e,1,1,0,1,0,0,0000000000000000
61,61,0,1,1,a165201ea165201f,1,1,0,1,0,0,0000000000000000
62,62,0,1,1,a165201fa1652020,1,1,0,1,0,0,0000000000000000
63,63,0,1,1,a1652020a1652021,1,1,0,1,0,0,0000000000000000
64,64,0,1,1,a1652021a1652022,1,1,0,1,0,0,0000000000000000
65,65,0,1,1,a1652022a1652023,1,1,0,1,0,0,0000000000000000
66,66,0,1,1,a1652023a1652024,1,1,0,1,0,0,0000000000000000
67,67,0,1,1,a1652024a1652025,1,1,0,1,0,0,0000000000000000
68,68,0,1,1,a1652025a1652026,1,1,0,1,0,0,0000000000000000
69,69,0,1,1,a1652026a1652027,1,1,0,1,0,0,0000000000000000
70,70,0,1,1,a1652027a1652028,1,1,0,1,0,0,0000000000000000
71,71,0,1,1,a1652028a1652029,1,1,0,1,0,0,0000000000000000
72,72,0,0,1,a1652029a165202a,1,1,0,1,0,0,0000000000000000
73,73,0,0,1,a165202aa165202b,1,1,0,1,0,0,0000000000000000
74,74,0,0,1,a165202ba165202c,1,1,0,1,0,0,0000000000000000
75,75,0,0,1,a165202ca165202d,1,1,0,1,0,0,0000000000000000
76,76,0,0,1,a165202da165202e,1,1,0,1,0,0,0000000000000000
77,77,0,0,1,a165202ea165202f,1,1,0,1,0,0,0000000000000000
78,78,0,0,1,a165202fa1652030,1,1,0,1,0,0,0000000000000000
79,79,0,0,1,a1652030a1652031,1,1,0,1,0,0,0000000000000000
80,80,0,0,1,a1652031a1652032,1,1,0,1,0,0,0000000000000000
81,81,0,0,1,a1652032a1652033,1,1,0,1,0,0,0000000000000000
82,82,0,0,1,a1652033a1652034,1,1,0,1,0,0,0000000000000000
83,83,0,0,1,a1652034a1652035,1,1,0,1,0,0,0000000000000000
84,84,0,0,1,a1652035a1652036,1,1,0,1,0,0,0000000000000000
85,85,0,0,1,a1652036a1652037,1,1,0,1,0,0,0000000000000000
86,86,0,0,1,a1652037a1652038,1,1,0,1,0,0,0000000000000000
87,87,0,0,1,a1652038a1652039,1,1,0,1,0,0,0000000000000000
88,88,0,1,1,a1652039a165203a,1,1,0,1,0,0,0000000000000000
89,89,0,1,1,a165203aa165203b,1,1,0,1,0,0,0000000000000000
90,90,0,1,1,a165203ba165203c,1,1,0,1,0,0,0000000000000000
91,91,0,1,1,a165203ca165203d,1,1,0,1,0,0,0000000000000000
92,92,0,1,1,a165203da165203e,1,1,0,1,0,0,0000000000000000
93,93,0,1,1,a165203ea165203f,1,1,0,1,0,0,0000000000000000
94,94,0,1,1,a165203fa1652040,1,1,0,1,0,0,0000000000000000
95,95,0,1,1,a1652040a1652041,1,1,0,1,0,0,0000000000000000
96,96,0,1,1,a1652041a1652042,1,1,0,1,0,0,0000000000000000
97,97,0,1,1,a1652042a1652043,1,1,0,1,0,0,0000000000000000
98,98,0,1,1,a1652043a1652044,1,1,0,1,0,0,0000000000000000
99,99,0,1,1,a1652044a1652045,1,1,0,1,0,0,0000000000000000
100,100,1,1,1,a1652045a1652046,1,1,0,1,0,0,0000000000000000
101,101,0,1,1,a1652046a1652047,1,1,0,1,0,0,0000000000000000
102,102,0,1,1,a1652047a1652048,1,1,0,1,0,0,0000000000000000
103,103,0,1,1,a1652048a1652049,1,1,0,1,0,0,0000000000000000
104,104,0,0,1,a1652049a165204a,1,1,0,1,0,0,0000000000000000
105,105,0,0,1,a165204aa165204b,1,1,0,1,0,0,0000000000000000
106,106,0,0,1,a165204ba165204c,1,1,0,1,0,0,0000000000000000
107,107,0,0,1,a165204ca165204d,1,1,0,1,0,0,0000000000000000
108,108,0,0,1,a165204da165204e,1,1,0,1,0,0,0000000000000000
109,109,0,0,1,a165204ea165204f,1,1,0,1,0,0,0000000000000000
110,110,0,0,1,a165204fa1652050,1,1,0,1,0,0,0000000000000000
111,111,0,0,1,a1652050a1652051,1,1,0,1,0,0,0000000000000000
112,112,0,0,1,a1652051a1652052,1,1,0,1,0,0,0000000000000000
