Sample in Buffer,Sample in Window,TRIGGER,sysref,tx_ready,tx_data[127:0],rx_sync_0_OBUF,tx_sync_0_IBUF,rx_valid_1,locked,rst_204,rx_valid,rx_data[127:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
57,57,0,0,1,c69250c2c69250c3c69250c4c69250c5,0,1,0,1,0,0,00000000000000000000000000000000
58,58,0,0,1,c69250c3c69250c4c69250c5c69250c6,0,1,0,1,0,0,00000000000000000000000000000000
59,59,0,0,1,c69250c4c69250c5c69250c6c69250c7,0,1,0,1,0,0,00000000000000000000000000000000
60,60,0,0,1,c69250c5c69250c6c69250c7c69250c8,0,1,0,1,0,0,00000000000000000000000000000000
61,61,0,0,1,c69250c6c69250c7c69250c8c69250c9,0,1,0,1,0,0,00000000000000000000000000000000
62,62,0,0,1,c69250c7c69250c8c69250c9c69250ca,0,1,0,1,0,0,00000000000000000000000000000000
63,63,0,0,1,c69250c8c69250c9c69250cac69250cb,0,1,0,1,0,0,00000000000000000000000000000000
64,64,0,0,1,c69250c9c69250cac69250cbc69250cc,0,1,0,1,0,0,00000000000000000000000000000000
65,65,0,0,1,c69250cac69250cbc69250ccc69250cd,0,1,0,1,0,0,00000000000000000000000000000000
66,66,0,0,1,c69250cbc69250ccc69250cdc69250ce,0,1,0,1,0,0,00000000000000000000000000000000
67,67,0,0,1,c69250ccc69250cdc69250cec69250cf,0,1,0,1,0,0,00000000000000000000000000000000
68,68,0,0,1,c69250cdc69250cec69250cfc69250d0,0,1,0,1,0,0,00000000000000000000000000000000
69,69,0,0,1,c69250cec69250cfc69250d0c69250d1,0,1,0,1,0,0,00000000000000000000000000000000
70,70,0,0,1,c69250cfc69250d0c69250d1c69250d2,0,1,0,1,0,0,00000000000000000000000000000000
71,71,0,0,1,c69250d0c69250d1c69250d2c69250d3,0,1,0,1,0,0,00000000000000000000000000000000
72,72,0,0,1,c69250d1c69250d2c69250d3c69250d4,0,1,0,1,0,0,00000000000000000000000000000000
73,73,0,0,1,c69250d2c69250d3c69250d4c69250d5,0,1,0,1,0,0,00000000000000000000000000000000
74,74,0,0,1,c69250d3c69250d4c69250d5c69250d6,0,1,0,1,0,0,00000000000000000000000000000000
75,75,0,0,1,c69250d4c69250d5c69250d6c69250d7,0,1,0,1,0,0,00000000000000000000000000000000
76,76,0,0,1,c69250d5c69250d6c69250d7c69250d8,0,1,0,1,0,0,00000000000000000000000000000000
77,77,0,0,1,c69250d6c69250d7c69250d8c69250d9,0,1,0,1,0,0,00000000000000000000000000000000
78,78,0,0,1,c69250d7c69250d8c69250d9c69250da,0,1,0,1,0,0,00000000000000000000000000000000
79,79,0,0,1,c69250d8c69250d9c69250dac69250db,0,1,0,1,0,0,00000000000000000000000000000000
80,80,0,0,1,c69250d9c69250dac69250dbc69250dc,0,1,0,1,0,0,00000000000000000000000000000000
81,81,0,0,1,c69250dac69250dbc69250dcc69250dd,0,1,0,1,0,0,00000000000000000000000000000000
82,82,0,0,1,c69250dbc69250dcc69250ddc69250de,0,1,0,1,0,0,00000000000000000000000000000000
83,83,0,0,1,c69250dcc69250ddc69250dec69250df,0,1,0,1,0,0,00000000000000000000000000000000
84,84,0,0,1,c69250ddc69250dec69250dfc69250e0,0,1,0,1,0,0,00000000000000000000000000000000
85,85,0,0,1,c69250dec69250dfc69250e0c69250e1,0,1,0,1,0,0,00000000000000000000000000000000
86,86,0,0,1,c69250dfc69250e0c69250e1c69250e2,0,1,0,1,0,0,00000000000000000000000000000000
87,87,0,0,1,c69250e0c69250e1c69250e2c69250e3,0,1,0,1,0,0,00000000000000000000000000000000
88,88,0,0,1,c69250e1c69250e2c69250e3c69250e4,0,1,0,1,0,0,00000000000000000000000000000000
89,89,0,0,1,c69250e2c69250e3c69250e4c69250e5,0,1,0,1,0,0,00000000000000000000000000000000
