Sample in Buffer,Sample in Window,TRIGGER,sysref,tx_ready,tx_data[127:0],rx_sync_0_OBUF,tx_sync_0_IBUF,rx_valid_1,locked,rst_204,rx_valid,rx_data[127:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,1,1,73e16dfd73e16dfe73e16dff73e16e00,0,1,0,1,0,0,00000000000000000000000000000000
1,1,0,1,1,73e16dfe73e16dff73e16e0073e16e01,0,1,0,1,0,0,00000000000000000000000000000000
2,2,0,1,1,73e16dff73e16e0073e16e0173e16e02,0,1,0,1,0,0,00000000000000000000000000000000
3,3,0,1,1,73e16e0073e16e0173e16e0273e16e03,0,1,0,1,0,0,00000000000000000000000000000000
4,4,0,0,1,73e16e0173e16e0273e16e0373e16e04,0,1,0,1,0,0,00000000000000000000000000000000
5,5,0,0,1,73e16e0273e16e0373e16e0473e16e05,0,1,0,1,0,0,00000000000000000000000000000000
6,6,0,0,1,73e16e0373e16e0473e16e0573e16e06,0,1,0,1,0,0,00000000000000000000000000000000
7,7,0,0,1,73e16e0473e16e0573e16e0673e16e07,0,1,0,1,0,0,00000000000000000000000000000000
8,8,0,0,1,73e16e0573e16e0673e16e0773e16e08,0,1,0,1,0,0,00000000000000000000000000000000
9,9,0,0,1,73e16e0673e16e0773e16e0873e16e09,0,1,0,1,0,0,00000000000000000000000000000000
10,10,0,0,1,73e16e0773e16e0873e16e0973e16e0a,0,1,0,1,0,0,00000000000000000000000000000000
11,11,0,0,1,73e16e0873e16e0973e16e0a73e16e0b,0,1,0,1,0,0,00000000000000000000000000000000
12,12,0,0,1,73e16e0973e16e0a73e16e0b73e16e0c,0,1,0,1,0,0,00000000000000000000000000000000
13,13,0,0,1,73e16e0a73e16e0b73e16e0c73e16e0d,0,1,0,1,0,0,00000000000000000000000000000000
14,14,0,0,1,73e16e0b73e16e0c73e16e0d73e16e0e,0,1,0,1,0,0,00000000000000000000000000000000
15,15,0,0,1,73e16e0c73e16e0d73e16e0e73e16e0f,0,1,0,1,0,0,00000000000000000000000000000000
16,16,0,0,1,73e16e0d73e16e0e73e16e0f73e16e10,0,1,0,1,0,0,00000000000000000000000000000000
17,17,0,0,1,73e16e0e73e16e0f73e16e1073e16e11,0,1,0,1,0,0,00000000000000000000000000000000
18,18,0,0,1,73e16e0f73e16e1073e16e1173e16e12,0,1,0,1,0,0,00000000000000000000000000000000
19,19,0,0,1,73e16e1073e16e1173e16e1273e16e13,0,1,0,1,0,0,00000000000000000000000000000000
20,20,0,0,1,73e16e1173e16e1273e16e1373e16e14,0,1,0,1,0,0,00000000000000000000000000000000
21,21,0,0,1,73e16e1273e16e1373e16e1473e16e15,0,1,0,1,0,0,00000000000000000000000000000000
22,22,0,0,1,73e16e1373e16e1473e16e1573e16e16,0,1,0,1,0,0,00000000000000000000000000000000
23,23,0,0,1,73e16e1473e16e1573e16e1673e16e17,0,1,0,1,0,0,00000000000000000000000000000000
24,24,0,0,1,73e16e1573e16e1673e16e1773e16e18,0,1,0,1,0,0,00000000000000000000000000000000
25,25,0,0,1,73e16e1673e16e1773e16e1873e16e19,0,1,0,1,0,0,00000000000000000000000000000000
26,26,0,0,1,73e16e1773e16e1873e16e1973e16e1a,0,1,0,1,0,0,00000000000000000000000000000000
27,27,0,0,1,73e16e1873e16e1973e16e1a73e16e1b,0,1,0,1,0,0,00000000000000000000000000000000
28,28,0,0,1,73e16e1973e16e1a73e16e1b73e16e1c,0,1,0,1,0,0,00000000000000000000000000000000
29,29,0,0,1,73e16e1a73e16e1b73e16e1c73e16e1d,0,1,0,1,0,0,00000000000000000000000000000000
30,30,0,0,1,73e16e1b73e16e1c73e16e1d73e16e1e,0,1,0,1,0,0,00000000000000000000000000000000
31,31,0,0,1,73e16e1c73e16e1d73e16e1e73e16e1f,0,1,0,1,0,0,00000000000000000000000000000000
32,32,0,0,1,73e16e1d73e16e1e73e16e1f73e16e20,0,1,0,1,0,0,00000000000000000000000000000000
33,33,0,0,1,73e16e1e73e16e1f73e16e2073e16e21,0,1,0,1,0,0,00000000000000000000000000000000
34,34,0,0,1,73e16e1f73e16e2073e16e2173e16e22,0,1,0,1,0,0,00000000000000000000000000000000
35,35,0,0,1,73e16e2073e16e2173e16e2273e16e23,0,1,0,1,0,0,00000000000000000000000000000000
36,36,0,1,1,73e16e2173e16e2273e16e2373e16e24,0,1,0,1,0,0,00000000000000000000000000000000
37,37,0,1,1,73e16e2273e16e2373e16e2473e16e25,0,1,0,1,0,0,00000000000000000000000000000000
38,38,0,1,1,73e16e2373e16e2473e16e2573e16e26,0,1,0,1,0,0,00000000000000000000000000000000
39,39,0,1,1,73e16e2473e16e2573e16e2673e16e27,0,1,0,1,0,0,00000000000000000000000000000000
40,40,0,1,1,73e16e2573e16e2673e16e2773e16e28,0,1,0,1,0,0,00000000000000000000000000000000
41,41,0,1,1,73e16e2673e16e2773e16e2873e16e29,0,1,0,1,0,0,00000000000000000000000000000000
42,42,0,1,1,73e16e2773e16e2873e16e2973e16e2a,0,1,0,1,0,0,00000000000000000000000000000000
43,43,0,1,1,73e16e2873e16e2973e16e2a73e16e2b,0,1,0,1,0,0,00000000000000000000000000000000
44,44,0,1,1,73e16e2973e16e2a73e16e2b73e16e2c,0,1,0,1,0,0,00000000000000000000000000000000
45,45,0,1,1,73e16e2a73e16e2b73e16e2c73e16e2d,0,1,0,1,0,0,00000000000000000000000000000000
46,46,0,1,1,73e16e2b73e16e2c73e16e2d73e16e2e,0,1,0,1,0,0,00000000000000000000000000000000
47,47,0,1,1,73e16e2c73e16e2d73e16e2e73e16e2f,0,1,0,1,0,0,00000000000000000000000000000000
48,48,0,1,1,73e16e2d73e16e2e73e16e2f73e16e30,0,1,0,1,0,0,00000000000000000000000000000000
49,49,0,1,1,73e16e2e73e16e2f73e16e3073e16e31,0,1,0,1,0,0,00000000000000000000000000000000
50,50,0,1,1,73e16e2f73e16e3073e16e3173e16e32,0,1,0,1,0,0,00000000000000000000000000000000
51,51,0,1,1,73e16e3073e16e3173e16e3273e16e33,0,1,0,1,0,0,00000000000000000000000000000000
52,52,0,1,1,73e16e3173e16e3273e16e3373e16e34,0,1,0,1,0,0,00000000000000000000000000000000
53,53,0,1,1,73e16e3273e16e3373e16e3473e16e35,0,1,0,1,0,0,00000000000000000000000000000000
54,54,0,1,1,73e16e3373e16e3473e16e3573e16e36,0,1,0,1,0,0,00000000000000000000000000000000
55,55,0,1,1,73e16e3473e16e3573e16e3673e16e37,0,1,0,1,0,0,00000000000000000000000000000000
56,56,0,1,1,73e16e3573e16e3673e16e3773e16e38,0,1,0,1,0,0,00000000000000000000000000000000
57,57,0,1,1,73e16e3673e16e3773e16e3873e16e39,0,1,0,1,0,0,00000000000000000000000000000000
